資料日期,基金代碼,基金ISIN_CODE,基金名稱,基金種類,基金細項,投資區域,投資細項,計價幣別,基金總代理名稱,境外基金機構,淨值日期,最新淨值
20241207,BLKMUFMA,LU0106831901,貝萊德世界金融基金 A2 美元,股票型,金融,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,55.68
20241207,BLKMUXAA,LU0171293334,貝萊德英國基金 A2 美元,股票型,一般型,單一國家,英國,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,184.43
20241207,BLKMWBAA,LU0184696937,貝萊德世界債券基金 A2 美元,固定收益型,政府債,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,81.71
20241207,BLKMWEAA,LU0122376428,貝萊德世界能源基金 A2 美元,股票型,能源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,25.98
20241207,BLKMWECC,LU0147400070,貝萊德世界能源基金 C2 美元,股票型,能源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,19.33
20241207,BLKMWFAU,LU2533724519,貝萊德世界金融基金 A10美元(總報酬穩定配息),股票型,金融,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,15.68
20241207,BLKMWFUX,LU2471418637,貝萊德世界金融基金 X10 美元,股票型,金融,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,15.41
20241207,BLKMWHAA,LU0122379950,貝萊德世界健康科學基金 A2 美元,股票型,醫療健康護理,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,69.97
20241207,BLKMWMAA,LU0075056555,貝萊德世界礦業基金 A2 美元,股票型,天然資源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,62.4
20241207,BLKMWMCC,LU0147405384,貝萊德世界礦業基金 C2 美元,股票型,天然資源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,45.46
20241207,BLKMYEAA,LU0011850046,貝萊德環球前瞻股票基金 A2 美元,股票型,一般型,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,103.89
20241207,BLKMZUAA,LU0006061419,貝萊德美元儲備基金 A2 美元,貨幣市場型,貨幣市場型,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,175.7933
20241207,BLKOFNAU,LU1861214812,貝萊德新世代運輸基金 A2 美元,股票型,其他產業,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,13.02
20241207,BLKOFNDU,LU1861214903,貝萊德新世代運輸基金 D2 美元,股票型,其他產業,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,13.71
20241207,BLKOFTUA,LU2533727025,貝萊德新世代運輸基金 A10 美元(總報酬穩定配息),股票型,其他產業,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,8.71
20241207,BLKSEFAU,LU2533724782,貝萊德永續能源基金 A10美元(總報酬穩定配息),股票型,替代能源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,10.6
20241207,BLKSEFXU,LU2471418470,貝萊德永續能源基金 X10 美元,股票型,替代能源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,10.01
20241207,BLKTENAU,LU2533723974,貝萊德世界科技基金  A10美元(總報酬穩定配息),股票型,資訊科技,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,16.41
